Degree_ID,Degree_Payment_ID,Degree_Pay_IntakeID,Degree_Payment_AddByID,Degree_Payment_Year,Degree_Payment_Amount,Degree_Payment_TimeStamp,Degree_Payment_IsDeleted
41,1026,16,1,2,250000.00,2019-05-08 14:43:49,0
45,1027,16,1,1,800000.00,2019-04-08 11:34:25,0
45,1028,16,1,2,400000.00,2019-04-08 11:34:49,0
45,1029,16,1,3,200000.00,2019-04-08 11:35:24,0
45,1030,16,1,4,200000.00,2019-04-08 11:35:47,0
46,1031,16,1,1,800000.00,2019-04-08 11:36:20,0
46,1032,16,1,2,400000.00,2019-04-08 11:36:37,0
46,1033,16,1,3,200000.00,2019-04-08 11:36:58,0
46,1034,16,1,4,200000.00,2019-04-08 11:37:16,0
47,1035,16,1,1,600000.00,2019-04-08 11:38:08,0
47,1036,16,1,2,300000.00,2019-04-08 11:38:39,0
47,1037,16,1,3,300000.00,2019-04-08 11:39:07,0
48,1038,16,1,1,600000.00,2019-04-08 11:39:42,0
48,1039,16,1,2,300000.00,2019-04-08 11:40:10,0
48,1040,16,1,3,300000.00,2019-04-08 11:40:36,0
49,1041,16,1,1,600000.00,2019-04-08 11:59:02,0
49,1042,16,1,2,300000.00,2019-04-08 11:59:23,0
49,1043,16,1,3,300000.00,2019-04-08 11:59:42,0
50,1044,16,1,1,800000.00,2019-06-13 14:26:50,0
50,1045,16,1,2,800000.00,2019-06-13 14:26:50,0
50,1046,16,1,3,800000.00,2019-06-13 14:26:50,0
50,1047,16,1,4,800000.00,2019-06-13 14:26:50,0
52,1048,16,1,1,900000.00,2019-07-12 00:33:49,0
52,1049,16,1,2,900000.00,2019-07-12 00:33:49,0
52,1050,16,1,3,900000.00,2019-07-12 00:33:49,0
52,1051,16,1,4,900000.00,2019-07-12 00:33:49,0
1,1053,19,1,1,800000.00,2018-12-05 10:33:04,0
1,1054,19,1,2,800000.00,2018-12-05 10:33:04,0
1,1055,19,1,3,800000.00,2018-12-05 10:35:24,0
1,1056,19,1,4,800000.00,2018-12-05 10:35:24,0
5,1057,19,1,1,800000.00,2018-12-05 10:37:57,0
5,1058,19,1,2,800000.00,2018-12-05 10:37:57,0
5,1059,19,1,3,800000.00,2018-12-05 10:39:01,0
5,1060,19,1,4,800000.00,2018-12-05 10:39:01,0
6,1061,19,1,1,1000000.00,2018-12-05 10:51:08,0
6,1062,19,1,2,1000000.00,2018-12-05 10:51:08,0
6,1063,19,1,3,1000000.00,2018-12-05 10:51:32,0
7,1064,19,1,1,900000.00,2018-12-05 10:35:43,0
7,1065,19,1,2,900000.00,2018-12-05 10:35:43,0
7,1066,19,1,3,840000.00,2018-12-05 10:37:17,0
7,1067,19,1,4,840000.00,2018-12-05 10:37:17,0
8,1068,19,1,1,900000.00,2018-12-05 10:39:43,0
8,1069,19,1,2,900000.00,2018-12-05 10:39:43,0
8,1070,19,1,3,840000.00,2018-12-05 10:41:28,0
8,1071,19,1,4,840000.00,2018-12-05 10:41:28,0
9,1072,19,1,1,1100000.00,2018-12-05 10:48:05,0
9,1073,19,1,2,1100000.00,2018-12-05 10:48:05,0
9,1074,19,1,3,1100000.00,2018-12-05 10:48:24,0
10,1075,19,1,1,1200000.00,2018-12-05 11:01:12,0
10,1076,19,1,2,1000000.00,2018-12-05 11:01:12,0
10,1077,19,1,3,1000000.00,2018-12-05 11:01:56,0
11,1078,19,1,1,1200000.00,2018-12-05 11:03:05,0
11,1079,19,1,2,1000000.00,2018-12-05 11:03:05,0
11,1080,19,1,3,1000000.00,2018-12-05 11:03:30,0
12,1081,19,1,1,1200000.00,2018-12-05 11:04:08,0
12,1082,19,1,2,1000000.00,2018-12-05 11:04:08,0
12,1083,19,1,3,1000000.00,2018-12-05 11:04:20,0
13,1084,19,1,1,1200000.00,2018-12-05 11:05:04,0
13,1085,19,1,2,1000000.00,2018-12-05 11:05:04,0
13,1086,19,1,3,1000000.00,2018-12-05 11:05:18,0
14,1087,19,1,1,1200000.00,2018-12-05 11:05:58,0
14,1088,19,1,2,1000000.00,2018-12-05 11:05:58,0
14,1089,19,1,3,1000000.00,2018-12-05 11:06:15,0
15,1090,19,1,1,1200000.00,2018-12-05 11:07:16,0
15,1091,19,1,2,1000000.00,2018-12-05 11:07:16,0
15,1092,19,1,3,1000000.00,2018-12-05 11:07:32,0
16,1093,19,1,1,800000.00,2018-12-05 10:41:07,0
16,1094,19,1,2,800000.00,2018-12-05 10:41:07,0
16,1095,19,1,3,800000.00,2018-12-05 10:42:51,0
16,1096,19,1,4,800000.00,2018-12-05 10:42:51,0
17,1097,19,1,1,800000.00,2018-12-05 10:43:57,0
17,1098,19,1,2,800000.00,2018-12-05 10:43:57,0
17,1099,19,1,3,800000.00,2018-12-05 10:44:36,0
17,1100,19,1,4,800000.00,2018-12-05 10:44:36,0
18,1101,19,1,1,800000.00,2018-12-05 10:45:33,0
18,1102,19,1,2,800000.00,2018-12-05 10:45:33,0
18,1103,19,1,3,800000.00,2018-12-05 10:46:55,0
18,1104,19,1,4,800000.00,2018-12-05 10:46:55,0
19,1105,19,1,1,800000.00,2018-12-05 10:48:15,0
19,1106,19,1,2,800000.00,2018-12-05 10:48:15,0
19,1107,19,1,3,800000.00,2018-12-05 10:49:06,0
19,1108,19,1,4,800000.00,2018-12-05 10:49:06,0
20,1109,19,1,1,1000000.00,2018-12-05 10:52:52,0
20,1110,19,1,2,1000000.00,2018-12-05 10:52:52,0
20,1111,19,1,3,1000000.00,2018-12-05 10:53:13,0
21,1112,19,1,1,900000.00,2018-12-05 10:30:24,0
21,1113,19,1,2,900000.00,2018-12-05 10:30:24,0
21,1114,19,1,3,840000.00,2018-12-05 10:32:54,0
21,1115,19,1,4,840000.00,2018-12-05 10:32:54,0
22,1116,19,1,1,1100000.00,2018-12-05 10:45:00,0
22,1117,19,1,2,1100000.00,2018-12-05 10:45:00,0
22,1118,19,1,3,1100000.00,2018-12-05 10:45:56,0
23,1119,19,1,1,1200000.00,2018-12-05 10:52:26,0
23,1120,19,1,2,1000000.00,2018-12-05 10:53:22,0
23,1121,19,1,3,1000000.00,2018-12-05 10:53:55,0
24,1122,19,1,1,1200000.00,2018-12-05 11:02:17,0
24,1123,19,1,2,1000000.00,2018-12-05 10:57:10,0
24,1124,19,1,3,1000000.00,2018-12-05 11:02:11,0
25,1125,19,1,1,1200000.00,2018-12-05 10:59:47,0
25,1126,19,1,2,1000000.00,2018-12-05 10:59:47,0
25,1127,19,1,3,1000000.00,2018-12-05 11:00:13,0
26,1128,19,1,1,1200000.00,2018-12-05 10:56:42,0
26,1129,19,1,2,1200000.00,2018-12-05 10:56:42,0
26,1130,19,1,3,1200000.00,2018-12-05 10:57:15,0
26,1131,19,1,4,1200000.00,2018-12-05 10:57:15,0
27,1132,19,1,1,600000.00,2018-12-05 11:08:10,0
28,1133,19,1,1,250000.00,2019-05-08 14:35:36,0
28,1134,19,1,2,250000.00,2019-05-08 14:35:36,0
