id,user_id,paid_amt,degree_id,intake_id,no_of_paid,non_paid_amt,no_of_nonpaid,myear,degree,intake,faculty,semester,no_of_std,offered_by,start_date,semester_fee,deadline_year,deadline_date,deadline_month,total_cash_flow
5859,21,0,24,19,0,6000000,20,Year 01,BSc(Honours) Computer Networks,2020.1,Faculty Of Computing,Semester 02,20,Plymouth University,2020-08-17,300000,2020,2020-08-03,8,6000000
5860,21,1140000,25,19,3,6960000,24,Year 01,BSc(Honours) Computer Security,2020.1,Faculty Of Computing,Semester 02,27,Plymouth University,2020-08-17,300000,2020,2020-08-03,8,8100000
5861,21,4800000,23,19,16,51900000,173,Year 01,BSc(Honours) Software Engineering,2020.1,Faculty Of Computing,Semester 02,189,Plymouth University,2020-08-17,300000,2020,2020-08-03,8,56700000
5862,21,450000,21,19,2,6975000,31,Year 01,BSc(Hons) Management Information System,2020.1,Faculty Of Computing,Semester 02,33,University College Dublin,2020-08-17,225000,2020,2020-08-03,8,7425000
5863,21,0,18,19,0,1600000,8,Year 01,BSc(Honours) in Computer Science,2020.1,Faculty Of Computing,Semester 02,8,NSBM,2020-08-17,200000,2020,2020-08-03,8,1600000
5864,21,400000,17,19,2,4000000,20,Year 01,BSc(Honours) in Software Engineering,2020.1,Faculty Of Computing,Semester 02,22,NSBM,2020-08-17,200000,2020,2020-08-03,8,4400000
5865,21,625000,16,19,3,11175000,56,Year 01,BSc in Management Information Systems (Special),2020.1,Faculty Of Computing,Semester 02,59,NSBM,2020-08-17,200000,2020,2020-08-03,8,11800000
5866,21,25000,22,19,0,6575000,24,Year 01,Bachelor of Information Technology (NBIT): major in Web and Mobile Application Development,2020.1,Faculty Of Computing,Semester 02,24,Victoria University,2020-08-17,275000,2020,2020-08-03,8,6600000
5867,21,0,19,19,0,400000,2,Year 01,BSc(Honours) in Computer Networks,2020.1,Faculty Of Computing,Semester 02,2,NSBM,2020-08-17,200000,2020,2020-08-03,8,400000
5868,21,1000000,23,10,4,38500000,154,Year 03,BSc(Honours) Software Engineering,2018.1,Faculty Of Computing,Semester 01,158,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,39500000
5869,21,250000,24,10,1,5750000,23,Year 03,BSc(Honours) Computer Networks,2018.1,Faculty Of Computing,Semester 01,24,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,6000000
5870,21,750000,25,1,3,10000000,40,Year 03,BSc(Honours) Computer Security,2018.2,Faculty Of Computing,Semester 01,43,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,10750000
5871,21,0,24,1,0,6750000,27,Year 03,BSc(Honours) Computer Networks,2018.2,Faculty Of Computing,Semester 01,27,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,6750000
5872,21,250000,25,10,1,9000000,36,Year 03,BSc(Honours) Computer Security,2018.1,Faculty Of Computing,Semester 01,37,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,9250000
5873,21,1750000,23,1,7,40500000,162,Year 03,BSc(Honours) Software Engineering,2018.2,Faculty Of Computing,Semester 01,169,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,42250000
5874,21,500000,25,12,2,8000000,32,Year 02,BSc(Honours) Computer Security,2019.1,Faculty Of Computing,Semester 01,34,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,8500000
5875,21,250000,24,12,1,6500000,26,Year 02,BSc(Honours) Computer Networks,2019.1,Faculty Of Computing,Semester 01,27,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,6750000
5876,21,2257500,23,12,9,39242500,157,Year 02,BSc(Honours) Software Engineering,2019.1,Faculty Of Computing,Semester 01,166,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,41500000
5877,21,0,25,16,0,7250000,29,Year 02,BSc(Honours) Computer Security,2019.2,Faculty Of Computing,Semester 01,29,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,7250000
5878,21,0,24,16,0,7500000,30,Year 02,BSc(Honours) Computer Networks,2019.2,Faculty Of Computing,Semester 01,30,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,7500000
5879,21,270000,23,16,1,30730000,123,Year 02,BSc(Honours) Software Engineering,2019.2,Faculty Of Computing,Semester 01,124,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,31000000
5880,21,500000,20,19,2,2750000,11,Year 01,BSc in Multimedia,2020.1,Faculty Of Computing,Semester 02,13,NSBM,2020-08-24,250000,2020,2020-08-10,8,3250000
5881,21,500000,20,12,2,1500000,6,Year 02,BSc in Multimedia,2019.1,Faculty Of Computing,Semester 02,8,NSBM,2020-09-01,250000,2020,2020-08-18,8,2000000
5882,21,0,20,1,0,800000,4,Year 03,BSc in Multimedia,2018.2,Faculty Of Computing,Semester 01,4,NSBM,2020-09-01,200000,2020,2020-08-18,8,800000
5883,21,0,20,10,0,6000000,30,Year 03,BSc in Multimedia,2018.1,Faculty Of Computing,Semester 02,30,NSBM,2020-09-01,200000,2020,2020-08-18,8,6000000
5884,21,250000,12,1,1,6000000,24,Year 03,BSc(Honours) Marketing Management,2018.2,Faculty Of Business,Semester 01,25,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,6250000
5885,21,750000,13,1,3,10500000,42,Year 03,BSc(Honours) Operations and Logistics Management,2018.2,Faculty Of Business,Semester 01,45,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,11250000
5886,21,4187500,11,1,15,11062500,46,Year 03,BSc(Honours) Accounting and Finance,2018.2,Faculty Of Business,Semester 01,61,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,15250000
5887,21,4750000,10,1,19,29000000,116,Year 03,BSc(Honours) International Management  and Business,2018.2,Faculty Of Business,Semester 01,135,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,33750000
5888,21,2250000,14,1,9,22750000,91,Year 03,"BSc(Honours) Events, Tourism and Hospitality Management",2018.2,Faculty Of Business,Semester 01,100,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,25000000
5889,21,0,15,1,0,500000,2,Year 03,BSc(Honours) Business Communication,2018.2,Faculty Of Business,Semester 01,2,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,500000
5890,21,3000000,10,12,12,28000000,112,Year 02,BSc(Honours) International Management  and Business,2019.1,Faculty Of Business,Semester 01,124,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,31000000
5891,21,1500000,11,12,6,9500000,38,Year 02,BSc(Honours) Accounting and Finance,2019.1,Faculty Of Business,Semester 01,44,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,11000000
5892,21,0,15,16,0,500000,2,Year 02,BSc(Honours) Business Communication,2019.2,Faculty Of Business,Semester 01,2,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,500000
5893,21,1750000,11,16,7,8000000,32,Year 02,BSc(Honours) Accounting and Finance,2019.2,Faculty Of Business,Semester 01,39,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,9750000
5894,21,4000000,10,16,16,30250000,121,Year 02,BSc(Honours) International Management  and Business,2019.2,Faculty Of Business,Semester 01,137,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,34250000
5895,21,250000,15,12,1,500000,2,Year 02,BSc(Honours) Business Communication,2019.1,Faculty Of Business,Semester 01,3,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,750000
5896,21,3000000,13,12,12,11750000,47,Year 02,BSc(Honours) Operations and Logistics Management,2019.1,Faculty Of Business,Semester 01,59,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,14750000
5897,21,500000,12,16,2,4500000,18,Year 02,BSc(Honours) Marketing Management,2019.2,Faculty Of Business,Semester 01,20,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,5000000
5898,21,1100000,13,16,4,10150000,41,Year 02,BSc(Honours) Operations and Logistics Management,2019.2,Faculty Of Business,Semester 01,45,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,11250000
5899,21,500000,12,12,2,2250000,9,Year 02,BSc(Honours) Marketing Management,2019.1,Faculty Of Business,Semester 01,11,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,2750000
5900,21,1750000,14,16,7,17750000,71,Year 02,"BSc(Honours) Events, Tourism and Hospitality Management",2019.2,Faculty Of Business,Semester 01,78,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,19500000
5901,21,750000,15,10,2,500000,3,Year 03,BSc(Honours) Business Communication,2018.1,Faculty Of Business,Semester 01,5,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,1250000
5902,21,1500000,14,10,6,18500000,74,Year 03,"BSc(Honours) Events, Tourism and Hospitality Management",2018.1,Faculty Of Business,Semester 01,80,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,20000000
5903,21,1685834,14,12,6,15814166,64,Year 02,"BSc(Honours) Events, Tourism and Hospitality Management",2019.1,Faculty Of Business,Semester 01,70,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,17500000
5904,21,4750000,10,10,19,14500000,58,Year 03,BSc(Honours) International Management  and Business,2018.1,Faculty Of Business,Semester 01,77,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,19250000
5905,21,1500000,11,10,6,7250000,29,Year 03,BSc(Honours) Accounting and Finance,2018.1,Faculty Of Business,Semester 01,35,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,8750000
5906,21,750000,12,10,3,5750000,23,Year 03,BSc(Honours) Marketing Management,2018.1,Faculty Of Business,Semester 01,26,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,6500000
5907,21,1750000,13,10,7,10250000,41,Year 03,BSc(Honours) Operations and Logistics Management,2018.1,Faculty Of Business,Semester 01,48,Plymouth University,2020-08-10,250000,2020,2020-07-27,7,12000000
5908,21,2500000,1,19,12,45700000,229,Year 01,BSc in Business Management(Special),2020.1,Faculty Of Business,Semester 02,241,NSBM,2020-08-24,200000,2020,2020-08-10,8,48200000
5909,21,225000,7,19,1,6975000,31,Year 01,BSc(Hons) Management,2020.1,Faculty Of Business,Semester 02,32,University College Dublin,2020-08-24,225000,2020,2020-08-10,8,7200000
5910,21,275000,9,19,1,4950000,18,Year 01,Bachelor of Business: Banking and Finance & Financial Risk Management,2020.1,Faculty Of Business,Semester 02,19,Victoria University,2020-08-24,275000,2020,2020-08-10,8,5225000
5911,21,5000,8,19,0,2020000,9,Year 01,BSc(Hons) Human Resource Management,2020.1,Faculty Of Business,Semester 02,9,University College Dublin,2020-08-24,225000,2020,2020-08-10,8,2025000
5912,21,0,9,12,0,6875000,25,Year 02,Bachelor of Business: Banking and Finance & Financial Risk Management,2019.1,Faculty Of Business,Semester 02,25,Victoria University,2020-09-06,275000,2020,2020-08-23,8,6875000
5913,21,275000,9,10,1,7975000,29,Year 03,Bachelor of Business: Banking and Finance & Financial Risk Management,2018.1,Faculty Of Business,Semester 02,30,Victoria University,2020-09-06,275000,2020,2020-08-23,8,8250000
5914,21,0,53,12,0,0,2,Year 02,BSc Engineering (Hons) in Mechatronic Engineering,2019.1,Faculty Of Engineering,Semester 02,2,NSBM,2020-08-24,0,2020,2020-08-10,8,0
5915,21,0,54,12,0,0,6,Year 02,BSc Engineering (Hons) in Electrical & Electronic Engineering,2019.1,Faculty Of Engineering,Semester 02,6,NSBM,2020-08-24,0,2020,2020-08-10,8,0
5916,21,1200000,26,12,4,1800000,6,Year 02,BSc Engineering (Hons) in Computer System Engineering,2019.1,Faculty Of Engineering,Semester 02,10,NSBM,2020-08-24,300000,2020,2020-08-10,8,3000000
5917,21,0,34,19,0,6250000,25,Year 01,Bachelor of Interior Design,2020.1,Faculty Of Engineering,Semester 02,25,NSBM,2020-09-03,250000,2020,2020-08-20,8,6250000
5918,21,0,26,19,0,4800000,16,Year 01,BSc Engineering (Hons) in Computer System Engineering,2020.1,Faculty Of Engineering,Semester 02,16,NSBM,2020-09-07,300000,2020,2020-08-24,8,4800000
5919,21,300000,54,19,1,6000000,20,Year 01,BSc Engineering (Hons) in Electrical & Electronic Engineering,2020.1,Faculty Of Engineering,Semester 02,21,NSBM,2020-09-07,300000,2020,2020-08-24,8,6300000
5920,21,0,53,19,0,5400000,18,Year 01,BSc Engineering (Hons) in Mechatronic Engineering,2020.1,Faculty Of Engineering,Semester 02,18,NSBM,2020-09-07,300000,2020,2020-08-24,8,5400000
6833,73,0,19,19,0,400000,2,Year 01,BSc(Honours) in Computer Networks,2020.1,Faculty Of Computing,Semester 02,2,NSBM,2020-08-18,200000,2020,2020-08-04,8,400000
6834,73,1840000,25,19,5,6260000,22,Year 01,BSc(Honours) Computer Security,2020.1,Faculty Of Computing,Semester 02,27,Plymouth University,2020-08-18,300000,2020,2020-08-04,8,8100000
6835,73,300000,24,19,1,5700000,19,Year 01,BSc(Honours) Computer Networks,2020.1,Faculty Of Computing,Semester 02,20,Plymouth University,2020-08-18,300000,2020,2020-08-04,8,6000000
6836,73,13800000,23,19,46,42900000,143,Year 01,BSc(Honours) Software Engineering,2020.1,Faculty Of Computing,Semester 02,189,Plymouth University,2020-08-18,300000,2020,2020-08-04,8,56700000
6837,73,2925000,21,19,13,4500000,20,Year 01,BSc(Hons) Management Information System,2020.1,Faculty Of Computing,Semester 02,33,University College Dublin,2020-08-18,225000,2020,2020-08-04,8,7425000
6838,73,1000000,18,19,5,600000,3,Year 01,BSc(Honours) in Computer Science,2020.1,Faculty Of Computing,Semester 02,8,NSBM,2020-08-18,200000,2020,2020-08-04,8,1600000
6839,73,1200000,17,19,6,3200000,16,Year 01,BSc(Honours) in Software Engineering,2020.1,Faculty Of Computing,Semester 02,22,NSBM,2020-08-18,200000,2020,2020-08-04,8,4400000
6840,73,2625000,16,19,13,9175000,46,Year 01,BSc in Management Information Systems (Special),2020.1,Faculty Of Computing,Semester 02,59,NSBM,2020-08-18,200000,2020,2020-08-04,8,11800000
6841,73,1125000,22,19,4,5475000,20,Year 01,Bachelor of Information Technology (NBIT): major in Web and Mobile Application Development,2020.1,Faculty Of Computing,Semester 02,24,Victoria University,2020-08-18,275000,2020,2020-08-04,8,6600000
6842,73,3000000,23,1,12,37750000,151,Year 03,BSc(Honours) Software Engineering,2018.2,Faculty Of Computing,Semester 01,163,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,40750000
6843,73,1750000,23,10,7,19250000,77,Year 03,BSc(Honours) Software Engineering,2018.1,Faculty Of Computing,Semester 01,84,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,21000000
6844,73,0,24,10,0,2750000,11,Year 03,BSc(Honours) Computer Networks,2018.1,Faculty Of Computing,Semester 01,11,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,2750000
6845,73,1000000,25,10,4,5500000,22,Year 03,BSc(Honours) Computer Security,2018.1,Faculty Of Computing,Semester 01,26,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,6500000
6846,73,750000,25,1,3,9750000,39,Year 03,BSc(Honours) Computer Security,2018.2,Faculty Of Computing,Semester 01,42,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,10500000
6847,73,0,24,1,0,6750000,27,Year 03,BSc(Honours) Computer Networks,2018.2,Faculty Of Computing,Semester 01,27,Plymouth University,2020-08-22,250000,2020,2020-08-08,8,6750000
6848,73,1250000,25,12,5,7250000,29,Year 02,BSc(Honours) Computer Security,2019.1,Faculty Of Computing,Semester 01,34,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,8500000
6849,73,750000,24,12,3,6000000,24,Year 02,BSc(Honours) Computer Networks,2019.1,Faculty Of Computing,Semester 01,27,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,6750000
6850,73,6257500,23,12,25,35242500,141,Year 02,BSc(Honours) Software Engineering,2019.1,Faculty Of Computing,Semester 01,166,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,41500000
6851,73,0,25,16,0,7250000,29,Year 02,BSc(Honours) Computer Security,2019.2,Faculty Of Computing,Semester 01,29,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,7250000
6852,73,0,24,16,0,7500000,30,Year 02,BSc(Honours) Computer Networks,2019.2,Faculty Of Computing,Semester 01,30,Plymouth University,2020-08-24,250000,2020,2020-08-10,8,7500000
