id,umisid,paymentid,feetype,offering
1039,NULL,60748,Foundation Fee,NULL
1040,NULL,60759,Foundation Fee,NULL
1041,NULL,60859,Foundation Fee,NULL
1042,NULL,60928,Foundation Fee,NULL
1043,NULL,60930,Foundation Fee,NULL
1044,NULL,60957,Foundation Fee,NULL
1045,NULL,60970,Foundation Fee,NULL
1046,NULL,61096,Foundation Fee,NULL
1047,NULL,61136,Foundation Fee,NULL
1048,NULL,61152,Foundation Fee,NULL
1049,NULL,61153,Foundation Fee,NULL
1050,NULL,61158,Foundation Fee,NULL
1051,NULL,61160,Foundation Fee,NULL
1052,NULL,61310,Foundation Fee,NULL
1053,NULL,61406,Foundation Fee,NULL
1054,NULL,61482,Foundation Fee,NULL
1055,NULL,61484,Foundation Fee,NULL
1056,NULL,61492,Foundation Fee,NULL
1057,NULL,61495,Foundation Fee,NULL
1058,NULL,61771,Foundation Fee,NULL
1059,NULL,61773,Foundation Fee,NULL
1060,NULL,61796,Foundation Fee,NULL
1061,NULL,61801,Foundation Fee,NULL
1062,NULL,61924,Foundation Fee,NULL
1063,NULL,62045,Foundation Fee,NULL
1064,NULL,62123,Foundation Fee,NULL
1065,NULL,62131,Foundation Fee,NULL
1066,NULL,62163,Foundation Fee,NULL
1067,NULL,62309,Foundation Fee,NULL
1068,NULL,62387,Foundation Fee,NULL
1069,NULL,62557,Foundation Fee,NULL
1070,NULL,62579,Foundation Fee,NULL
1071,NULL,62598,Foundation Fee,NULL
1072,NULL,62636,Foundation Fee,NULL
1073,NULL,62648,Foundation Fee,NULL
1074,NULL,62738,Foundation Fee,NULL
1075,NULL,62744,Foundation Fee,NULL
1076,NULL,62748,Foundation Fee,NULL
1077,NULL,62969,Foundation Fee,NULL
1078,NULL,63001,Foundation Fee,NULL
1079,NULL,63008,Foundation Fee,NULL
1080,NULL,63010,Foundation Fee,NULL
1081,NULL,63057,Foundation Fee,NULL
1082,NULL,63067,Foundation Fee,NULL
1083,NULL,63112,Foundation Fee,NULL
1084,NULL,63124,Foundation Fee,NULL
1085,NULL,63146,Foundation Fee,NULL
1086,NULL,63224,Foundation Fee,NULL
1087,NULL,63256,Foundation Fee,NULL
1088,NULL,63278,Foundation Fee,NULL
1089,NULL,63310,Foundation Fee,NULL
1090,NULL,63419,Foundation Fee,NULL
1091,NULL,63553,Foundation Fee,NULL
1092,NULL,63716,Foundation Fee,NULL
1093,NULL,63717,Foundation Fee,NULL
1094,NULL,63721,Foundation Fee,NULL
1095,NULL,63729,Foundation Fee,NULL
1096,NULL,63769,Foundation Fee,NULL
1097,NULL,63853,Foundation Fee,NULL
1098,NULL,63854,Foundation Fee,NULL
1099,NULL,63989,Foundation Fee,NULL
1100,NULL,64015,Foundation Fee,NULL
1101,NULL,64172,Foundation Fee,NULL
1102,NULL,64213,Foundation Fee,NULL
1103,NULL,64348,Foundation Fee,NULL
1104,NULL,64356,Foundation Fee,NULL
1105,NULL,64383,Foundation Fee,NULL
1106,NULL,64389,Foundation Fee,NULL
1107,NULL,64394,Foundation Fee,NULL
1108,NULL,64443,Foundation Fee,NULL
1109,NULL,64444,Foundation Fee,NULL
1110,NULL,64495,Foundation Fee,NULL
1111,NULL,64558,Foundation Fee,NULL
